,Denominator,Numerator,Weighted % ,"Lower 95%
Confidence Interval","Upper 95%
Confidence Interval",Year,Health Care Services,Sites,State,Region,Stabr
247,1037,656,63.6,59.3,67.7,2018,Had a flu shot in the 12 months before delivery,Wisconsin,Wisconsin,Midwest,WI
248,540,299,52.7,47.6,57.8,2018,Had a flu shot in the 12 months before delivery,Wyoming,Wyoming,West,WY
249,782,737,94.3,92.3,95.8,2018,Had maternal postpartum checkup,Alabama,Alabama,South,AL
250,978,859,89.0,86.6,91.1,2018,Had maternal postpartum checkup,Alaska,Alaska,West,AK
251,877,767,91.5,88.3,94.0,2018,Had maternal postpartum checkup,Arkansas,Arkansas,South,AR
252,1123,1035,91.5,89.1,93.3,2018,Had maternal postpartum checkup,Colorado,Colorado,West,CO
253,1406,1298,94.4,92.8,95.7,2018,Had maternal postpartum checkup,Connecticut,Connecticut,Northeast,CT
254,818,714,87.7,85.1,89.9,2018,Had maternal postpartum checkup,Delaware,Delaware,South,DE
255,761,672,89.8,86.8,92.2,2018,Had maternal postpartum checkup,Georgia,Georgia,South,GA
256,1301,1202,93.0,91.3,94.4,2018,Had maternal postpartum checkup,Illinois,Illinois,Midwest,IL
257,855,754,88.5,85.3,91.1,2018,Had maternal postpartum checkup,Indiana,Indiana,Midwest,IN
258,819,749,94.2,91.2,96.2,2018,Had maternal postpartum checkup,Iowa,Iowa,Midwest,IA
259,967,889,90.6,87.5,93.0,2018,Had maternal postpartum checkup,Kansas,Kansas,Midwest,KS
260,742,652,88.5,85.0,91.2,2018,Had maternal postpartum checkup,Kentucky,Kentucky,South,KY
261,846,748,88.9,86.5,91.0,2018,Had maternal postpartum checkup,Louisiana,Louisiana,South,LA
262,811,748,93.7,91.4,95.4,2018,Had maternal postpartum checkup,Maine,Maine,Northeast,ME
263,1023,936,90.4,87.8,92.4,2018,Had maternal postpartum checkup,Maryland,Maryland,South,MD
264,1419,1314,93.3,91.4,94.8,2018,Had maternal postpartum checkup,Massachusetts,Massachusetts,Northeast,MA
265,1821,1583,89.1,87.2,90.8,2018,Had maternal postpartum checkup,Michigan,Michigan,Midwest,MI
266,1265,1149,92.2,90.2,93.8,2018,Had maternal postpartum checkup,Minnesota,Minnesota,Midwest,MN
267,1174,1027,88.3,85.8,90.4,2018,Had maternal postpartum checkup,Mississippi,Mississippi,South,MS
268,924,807,87.5,84.8,89.7,2018,Had maternal postpartum checkup,Missouri,Missouri,Midwest,MO
269,798,738,93.1,91.2,94.7,2018,Had maternal postpartum checkup,Montana,Montana,West,MT
270,1307,1171,91.3,88.9,93.2,2018,Had maternal postpartum checkup,Nebraska,Nebraska,Midwest,NE
271,581,554,96.1,93.7,97.6,2018,Had maternal postpartum checkup,New Hampshire,New Hampshire,Northeast,NH
272,1174,1035,89.5,87.5,91.2,2018,Had maternal postpartum checkup,New Jersey,New Jersey,Northeast,NJ
273,1196,1043,87.5,85.5,89.2,2018,Had maternal postpartum checkup,New Mexico,New Mexico,West,NM
274,904,827,92.8,90.6,94.5,2018,Had maternal postpartum checkup,North Carolina,North Carolina,South,NC
275,873,755,91.0,88.4,93.0,2018,Had maternal postpartum checkup,North Dakota,North Dakota,Midwest,ND
276,1381,1199,89.3,86.9,91.2,2018,Had maternal postpartum checkup,Oklahoma,Oklahoma,South,OK
277,1570,1423,92.8,90.5,94.6,2018,Had maternal postpartum checkup,Oregon,Oregon,West,OR
278,948,839,87.6,84.9,89.9,2018,Had maternal postpartum checkup,Pennsylvania,Pennsylvania,Northeast,PA
279,1070,1014,95.5,93.7,96.7,2018,Had maternal postpartum checkup,Rhode Island,Rhode Island,Northeast,RI
280,1003,864,89.4,87.2,91.2,2018,Had maternal postpartum checkup,South Dakota,South Dakota,Midwest,SD
281,1232,1095,91.4,89.5,92.9,2018,Had maternal postpartum checkup,Utah,Utah,West,UT
282,852,785,91.9,89.6,93.6,2018,Had maternal postpartum checkup,Vermont,Vermont,Northeast,VT
283,1133,1039,90.2,86.8,92.8,2018,Had maternal postpartum checkup,Virginia,Virginia,South,VA
284,1130,1026,92.4,90.4,94.1,2018,Had maternal postpartum checkup,Washington,Washington,West,WA
285,680,578,87.2,84.0,89.9,2018,Had maternal postpartum checkup,West Virginia,West Virginia,South,WV
286,997,878,90.9,88.2,93.1,2018,Had maternal postpartum checkup,Wisconsin,Wisconsin,Midwest,WI
287,541,487,93.0,90.1,95.1,2018,Had maternal postpartum checkup,Wyoming,Wyoming,West,WY
288,789,467,56.5,53.1,59.8,2019,Health care visit in the 12 months before pregnancy ,Alabama,Alabama,South,AL
289,1063,697,67.4,64.1,70.5,2019,Health care visit in the 12 months before pregnancy ,Alaska,Alaska,West,AK
290,959,549,59.8,54.7,64.7,2019,Health care visit in the 12 months before pregnancy ,Arkansas,Arkansas,South,AR
291,1092,818,72.6,69.1,75.9,2019,Health care visit in the 12 months before pregnancy ,Colorado,Colorado,West,CO
292,1190,809,73.6,70.6,76.3,2019,Health care visit in the 12 months before pregnancy ,Connecticut,Connecticut,Northeast,CT
293,917,622,66.9,63.6,70.1,2019,Health care visit in the 12 months before pregnancy ,Delaware,Delaware,South,DE
294,1021,601,60.6,56.7,64.3,2019,Health care visit in the 12 months before pregnancy ,Florida,Florida,South,FL
295,783,474,61.4,56.9,65.7,2019,Health care visit in the 12 months before pregnancy ,Georgia,Georgia,South,GA
296,625,411,64.0,58.3,69.2,2019,Health care visit in the 12 months before pregnancy ,Hawaii,Hawaii,West,HI
297,1222,890,72.6,69.7,75.3,2019,Health care visit in the 12 months before pregnancy ,Illinois,Illinois,Midwest,IL
298,837,500,70.3,65.2,75.0,2019,Health care visit in the 12 months before pregnancy ,Iowa,Iowa,Midwest,IA
299,1005,708,70.5,66.6,74.1,2019,Health care visit in the 12 months before pregnancy ,Kansas,Kansas,Midwest,KS
300,904,633,70.2,66.0,74.1,2019,Health care visit in the 12 months before pregnancy ,Kentucky,Kentucky,South,KY
301,1073,769,70.6,67.1,73.9,2019,Health care visit in the 12 months before pregnancy ,Louisiana,Louisiana,South,LA
302,825,612,71.6,67.7,75.2,2019,Health care visit in the 12 months before pregnancy ,Maine,Maine,Northeast,ME
303,939,694,73.0,69.4,76.3,2019,Health care visit in the 12 months before pregnancy ,Maryland,Maryland,South,MD
304,1676,1212,75.9,73.3,78.3,2019,Health care visit in the 12 months before pregnancy ,Massachusetts,Massachusetts,Northeast,MA
305,1379,927,70.5,67.5,73.4,2019,Health care visit in the 12 months before pregnancy ,Michigan,Michigan,Midwest,MI
306,1034,790,75.1,71.2,78.5,2019,Health care visit in the 12 months before pregnancy ,Minnesota,Minnesota,Midwest,MN
307,1247,733,60.9,57.5,64.1,2019,Health care visit in the 12 months before pregnancy ,Mississippi,Mississippi,South,MS
308,1585,1118,65.1,62.0,68.1,2019,Health care visit in the 12 months before pregnancy ,Missouri,Missouri,Midwest,MO
309,718,527,74.9,71.6,77.9,2019,Health care visit in the 12 months before pregnancy ,Montana,Montana,West,MT
310,1620,980,70.4,67.4,73.2,2019,Health care visit in the 12 months before pregnancy ,Nebraska,Nebraska,Midwest,NE
311,658,514,75.0,70.4,79.2,2019,Health care visit in the 12 months before pregnancy ,New Hampshire,New Hampshire,Northeast,NH
312,1104,661,62.7,59.7,65.5,2019,Health care visit in the 12 months before pregnancy ,New Jersey,New Jersey,Northeast,NJ
313,1143,740,60.5,57.5,63.3,2019,Health care visit in the 12 months before pregnancy ,New Mexico,New Mexico,West,NM
314,863,581,64.8,60.9,68.5,2019,Health care visit in the 12 months before pregnancy ,North Carolina,North Carolina,South,NC
315,756,482,72.8,68.8,76.5,2019,Health care visit in the 12 months before pregnancy ,North Dakota,North Dakota,Midwest,ND
316,2426,1506,68.5,65.7,71.3,2019,Health care visit in the 12 months before pregnancy ,Oregon,Oregon,West,OR
317,1132,854,75.6,71.9,79.0,2019,Health care visit in the 12 months before pregnancy ,Pennsylvania,Pennsylvania,Northeast,PA
318,981,700,69.8,66.5,73.0,2019,Health care visit in the 12 months before pregnancy ,Rhode Island,Rhode Island,Northeast,RI
319,990,652,72.5,69.5,75.3,2019,Health care visit in the 12 months before pregnancy ,South Dakota,South Dakota,Midwest,SD
320,656,419,62.8,57.4,67.9,2019,Health care visit in the 12 months before pregnancy ,Tennessee,Tennessee,South,TN
321,1701,1280,73.1,70.3,75.8,2019,Health care visit in the 12 months before pregnancy ,Utah,Utah,West,UT
322,781,633,78.4,75.2,81.4,2019,Health care visit in the 12 months before pregnancy ,Vermont,Vermont,Northeast,VT
323,978,682,65.9,60.9,70.6,2019,Health care visit in the 12 months before pregnancy ,Virginia,Virginia,South,VA
324,1172,765,66.4,63.1,69.5,2019,Health care visit in the 12 months before pregnancy ,Washington,Washington,West,WA
325,846,596,74.7,70.8,78.3,2019,Health care visit in the 12 months before pregnancy ,Wisconsin,Wisconsin,Midwest,WI
326,491,339,67.5,62.1,72.4,2019,Health care visit in the 12 months before pregnancy ,Wyoming,Wyoming,West,WY
327,787,663,83.0,80.2,85.5,2019,Began prenatal care in 1st trimester,Alabama,Alabama,South,AL
328,1032,877,85.9,83.3,88.2,2019,Began prenatal care in 1st trimester,Alaska,Alaska,West,AK
329,951,786,83.3,79.0,86.8,2019,Began prenatal care in 1st trimester,Arkansas,Arkansas,South,AR
330,1077,983,90.4,87.7,92.6,2019,Began prenatal care in 1st trimester,Colorado,Colorado,West,CO
331,1160,1039,92.5,90.9,93.8,2019,Began prenatal care in 1st trimester,Connecticut,Connecticut,Northeast,CT
332,915,765,83.5,80.7,85.9,2019,Began prenatal care in 1st trimester,Delaware,Delaware,South,DE
333,1021,835,85.0,82.2,87.5,2019,Began prenatal care in 1st trimester,Florida,Florida,South,FL
334,768,678,88.4,85.3,91.0,2019,Began prenatal care in 1st trimester,Georgia,Georgia,South,GA
335,615,538,87.5,83.1,90.9,2019,Began prenatal care in 1st trimester,Hawaii,Hawaii,West,HI
336,1215,1091,89.1,86.9,91.0,2019,Began prenatal care in 1st trimester,Illinois,Illinois,Midwest,IL
337,834,689,89.7,86.1,92.4,2019,Began prenatal care in 1st trimester,Iowa,Iowa,Midwest,IA
338,996,885,90.0,87.2,92.3,2019,Began prenatal care in 1st trimester,Kansas,Kansas,Midwest,KS
339,897,796,87.9,84.4,90.7,2019,Began prenatal care in 1st trimester,Kentucky,Kentucky,South,KY
340,1055,930,87.0,84.2,89.3,2019,Began prenatal care in 1st trimester,Louisiana,Louisiana,South,LA
341,817,749,91.9,89.3,93.9,2019,Began prenatal care in 1st trimester,Maine,Maine,Northeast,ME
342,936,798,84.8,81.9,87.4,2019,Began prenatal care in 1st trimester,Maryland,Maryland,South,MD
343,1661,1506,92.7,91.2,94.0,2019,Began prenatal care in 1st trimester,Massachusetts,Massachusetts,Northeast,MA
344,1347,1140,87.1,84.8,89.1,2019,Began prenatal care in 1st trimester,Michigan,Michigan,Midwest,MI
345,1044,946,91.1,88.3,93.2,2019,Began prenatal care in 1st trimester,Minnesota,Minnesota,Midwest,MN
346,1246,1018,83.0,80.2,85.4,2019,Began prenatal care in 1st trimester,Mississippi,Mississippi,South,MS
347,1576,1413,87.8,85.3,89.9,2019,Began prenatal care in 1st trimester,Missouri,Missouri,Midwest,MO
348,723,634,88.3,85.7,90.4,2019,Began prenatal care in 1st trimester,Montana,Montana,West,MT
349,1590,1352,89.9,87.9,91.6,2019,Began prenatal care in 1st trimester,Nebraska,Nebraska,Midwest,NE
350,648,597,92.0,88.5,94.5,2019,Began prenatal care in 1st trimester,New Hampshire,New Hampshire,Northeast,NH
351,1091,925,87.0,84.9,88.9,2019,Began prenatal care in 1st trimester,New Jersey,New Jersey,Northeast,NJ
352,1128,992,85.8,83.5,87.9,2019,Began prenatal care in 1st trimester,New Mexico,New Mexico,West,NM
353,858,754,86.9,83.9,89.5,2019,Began prenatal care in 1st trimester,North Carolina,North Carolina,South,NC
354,742,610,90.1,87.4,92.3,2019,Began prenatal care in 1st trimester,North Dakota,North Dakota,Midwest,ND
355,2379,2057,89.9,88.0,91.6,2019,Began prenatal care in 1st trimester,Oregon,Oregon,West,OR
356,1122,994,87.3,83.8,90.1,2019,Began prenatal care in 1st trimester,Pennsylvania,Pennsylvania,Northeast,PA
357,966,900,94.1,92.2,95.6,2019,Began prenatal care in 1st trimester,Rhode Island,Rhode Island,Northeast,RI
358,984,830,86.5,84.0,88.6,2019,Began prenatal care in 1st trimester,South Dakota,South Dakota,Midwest,SD
359,643,537,84.7,80.1,88.3,2019,Began prenatal care in 1st trimester,Tennessee,Tennessee,South,TN
360,1680,1519,90.4,88.4,92.2,2019,Began prenatal care in 1st trimester,Utah,Utah,West,UT
361,766,726,94.6,92.6,96.1,2019,Began prenatal care in 1st trimester,Vermont,Vermont,Northeast,VT
362,965,847,85.9,81.7,89.2,2019,Began prenatal care in 1st trimester,Virginia,Virginia,South,VA
363,1171,1047,91.3,89.2,93.0,2019,Began prenatal care in 1st trimester,Washington,Washington,West,WA
364,831,701,87.0,83.8,89.6,2019,Began prenatal care in 1st trimester,Wisconsin,Wisconsin,Midwest,WI
365,485,423,86.6,82.4,90.0,2019,Began prenatal care in 1st trimester,Wyoming,Wyoming,West,WY
366,779,424,52.7,49.2,56.2,2019,Had a flu shot in the 12 months before delivery,Alabama,Alabama,South,AL
367,1016,652,62.9,59.4,66.3,2019,Had a flu shot in the 12 months before delivery,Alaska,Alaska,West,AK
368,957,546,61.8,56.8,66.6,2019,Had a flu shot in the 12 months before delivery,Arkansas,Arkansas,South,AR
369,1091,803,74.6,71.4,77.6,2019,Had a flu shot in the 12 months before delivery,Colorado,Colorado,West,CO
370,1178,847,74.7,71.5,77.6,2019,Had a flu shot in the 12 months before delivery,Connecticut,Connecticut,Northeast,CT
371,918,573,62.4,59.0,65.7,2019,Had a flu shot in the 12 months before delivery,Delaware,Delaware,South,DE
372,1025,371,39.8,36.0,43.8,2019,Had a flu shot in the 12 months before delivery,Florida,Florida,South,FL
373,779,315,39.8,35.5,44.2,2019,Had a flu shot in the 12 months before delivery,Georgia,Georgia,South,GA
374,612,345,64.8,59.5,69.8,2019,Had a flu shot in the 12 months before delivery,Hawaii,Hawaii,West,HI
375,1221,788,64.0,60.9,66.9,2019,Had a flu shot in the 12 months before delivery,Illinois,Illinois,Midwest,IL
376,819,582,72.5,67.3,77.1,2019,Had a flu shot in the 12 months before delivery,Iowa,Iowa,Midwest,IA
377,993,701,68.6,64.7,72.3,2019,Had a flu shot in the 12 months before delivery,Kansas,Kansas,Midwest,KS
378,898,545,53.7,49.3,58.1,2019,Had a flu shot in the 12 months before delivery,Kentucky,Kentucky,South,KY
379,1050,579,53.1,49.4,56.7,2019,Had a flu shot in the 12 months before delivery,Louisiana,Louisiana,South,LA
380,812,562,70.0,66.1,73.6,2019,Had a flu shot in the 12 months before delivery,Maine,Maine,Northeast,ME
381,933,623,65.9,62.1,69.4,2019,Had a flu shot in the 12 months before delivery,Maryland,Maryland,South,MD
382,1668,1315,78.5,75.8,80.9,2019,Had a flu shot in the 12 months before delivery,Massachusetts,Massachusetts,Northeast,MA
383,1363,696,54.6,51.3,57.8,2019,Had a flu shot in the 12 months before delivery,Michigan,Michigan,Midwest,MI
384,1045,705,70.3,66.6,73.6,2019,Had a flu shot in the 12 months before delivery,Minnesota,Minnesota,Midwest,MN
385,1246,563,47.9,44.5,51.3,2019,Had a flu shot in the 12 months before delivery,Mississippi,Mississippi,South,MS
386,1582,1048,64.3,61.2,67.3,2019,Had a flu shot in the 12 months before delivery,Missouri,Missouri,Midwest,MO
387,717,470,65.1,61.6,68.5,2019,Had a flu shot in the 12 months before delivery,Montana,Montana,West,MT
388,1587,1225,78.0,75.0,80.7,2019,Had a flu shot in the 12 months before delivery,Nebraska,Nebraska,Midwest,NE
389,654,459,69.2,64.4,73.5,2019,Had a flu shot in the 12 months before delivery,New Hampshire,New Hampshire,Northeast,NH
390,1078,599,56.9,53.7,60.0,2019,Had a flu shot in the 12 months before delivery,New Jersey,New Jersey,Northeast,NJ
391,1131,778,66.5,63.6,69.3,2019,Had a flu shot in the 12 months before delivery,New Mexico,New Mexico,West,NM
392,852,587,68.2,64.4,71.8,2019,Had a flu shot in the 12 months before delivery,North Carolina,North Carolina,South,NC
393,752,545,73.8,69.7,77.5,2019,Had a flu shot in the 12 months before delivery,North Dakota,North Dakota,Midwest,ND
394,2377,1637,67.4,64.3,70.4,2019,Had a flu shot in the 12 months before delivery,Oregon,Oregon,West,OR
395,1131,748,65.2,60.9,69.3,2019,Had a flu shot in the 12 months before delivery,Pennsylvania,Pennsylvania,Northeast,PA
396,960,785,82.1,79.1,84.8,2019,Had a flu shot in the 12 months before delivery,Rhode Island,Rhode Island,Northeast,RI
397,993,748,76.8,73.8,79.6,2019,Had a flu shot in the 12 months before delivery,South Dakota,South Dakota,Midwest,SD
398,647,355,56.8,51.3,62.1,2019,Had a flu shot in the 12 months before delivery,Tennessee,Tennessee,South,TN
399,1698,1192,66.0,63.0,69.0,2019,Had a flu shot in the 12 months before delivery,Utah,Utah,West,UT
400,769,569,72.1,68.7,75.3,2019,Had a flu shot in the 12 months before delivery,Vermont,Vermont,Northeast,VT
401,973,660,66.0,61.0,70.6,2019,Had a flu shot in the 12 months before delivery,Virginia,Virginia,South,VA
402,1167,826,70.5,67.2,73.5,2019,Had a flu shot in the 12 months before delivery,Washington,Washington,West,WA
403,837,558,68.3,64.0,72.4,2019,Had a flu shot in the 12 months before delivery,Wisconsin,Wisconsin,Midwest,WI
404,485,332,66.0,60.6,71.0,2019,Had a flu shot in the 12 months before delivery,Wyoming,Wyoming,West,WY
405,776,722,92.8,90.7,94.4,2019,Had maternal postpartum checkup,Alabama,Alabama,South,AL
406,1039,904,88.3,85.9,90.4,2019,Had maternal postpartum checkup,Alaska,Alaska,West,AK
407,951,806,88.8,85.2,91.6,2019,Had maternal postpartum checkup,Arkansas,Arkansas,South,AR
408,1088,1002,90.8,88.3,92.8,2019,Had maternal postpartum checkup,Colorado,Colorado,West,CO
409,1173,1098,95.2,93.7,96.3,2019,Had maternal postpartum checkup,Connecticut,Connecticut,Northeast,CT
410,919,830,90.2,87.9,92.1,2019,Had maternal postpartum checkup,Delaware,Delaware,South,DE
411,1008,886,89.3,86.6,91.5,2019,Had maternal postpartum checkup,Florida,Florida,South,FL
412,779,705,91.5,88.7,93.7,2019,Had maternal postpartum checkup,Georgia,Georgia,South,GA
413,615,572,93.0,89.8,95.2,2019,Had maternal postpartum checkup,Hawaii,Hawaii,West,HI
414,1218,1143,93.9,92.2,95.3,2019,Had maternal postpartum checkup,Illinois,Illinois,Midwest,IL
415,819,739,93.4,90.1,95.7,2019,Had maternal postpartum checkup,Iowa,Iowa,Midwest,IA
416,1007,926,92.5,90.0,94.5,2019,Had maternal postpartum checkup,Kansas,Kansas,Midwest,KS
417,902,821,89.2,85.8,91.8,2019,Had maternal postpartum checkup,Kentucky,Kentucky,South,KY
418,1067,952,88.9,86.4,90.9,2019,Had maternal postpartum checkup,Louisiana,Louisiana,South,LA
419,825,763,92.7,90.2,94.6,2019,Had maternal postpartum checkup,Maine,Maine,Northeast,ME
420,946,873,92.3,90.0,94.1,2019,Had maternal postpartum checkup,Maryland,Maryland,South,MD
421,1673,1549,92.9,91.1,94.3,2019,Had maternal postpartum checkup,Massachusetts,Massachusetts,Northeast,MA
422,1359,1182,88.7,86.5,90.5,2019,Had maternal postpartum checkup,Michigan,Michigan,Midwest,MI
423,1043,954,93.4,91.2,95.1,2019,Had maternal postpartum checkup,Minnesota,Minnesota,Midwest,MN
424,1239,1083,89.0,86.7,90.9,2019,Had maternal postpartum checkup,Mississippi,Mississippi,South,MS
425,1584,1425,88.6,86.2,90.7,2019,Had maternal postpartum checkup,Missouri,Missouri,Midwest,MO
426,721,643,90.3,88.0,92.2,2019,Had maternal postpartum checkup,Montana,Montana,West,MT
427,1594,1422,92.4,90.5,93.9,2019,Had maternal postpartum checkup,Nebraska,Nebraska,Midwest,NE
428,655,600,90.8,87.1,93.5,2019,Had maternal postpartum checkup,New Hampshire,New Hampshire,Northeast,NH
429,1078,950,89.5,87.4,91.2,2019,Had maternal postpartum checkup,New Jersey,New Jersey,Northeast,NJ
430,1128,1011,87.5,85.2,89.4,2019,Had maternal postpartum checkup,New Mexico,New Mexico,West,NM
431,855,782,91.6,89.0,93.5,2019,Had maternal postpartum checkup,North Carolina,North Carolina,South,NC
432,754,626,89.3,86.3,91.7,2019,Had maternal postpartum checkup,North Dakota,North Dakota,Midwest,ND
433,2399,2167,93.2,91.6,94.5,2019,Had maternal postpartum checkup,Oregon,Oregon,West,OR
434,1127,1009,89.4,86.1,92.0,2019,Had maternal postpartum checkup,Pennsylvania,Pennsylvania,Northeast,PA
435,967,911,94.2,92.2,95.8,2019,Had maternal postpartum checkup,Rhode Island,Rhode Island,Northeast,RI
436,996,858,89.6,87.6,91.3,2019,Had maternal postpartum checkup,South Dakota,South Dakota,Midwest,SD
437,650,569,88.3,84.3,91.4,2019,Had maternal postpartum checkup,Tennessee,Tennessee,South,TN
438,1698,1557,92.0,90.2,93.5,2019,Had maternal postpartum checkup,Utah,Utah,West,UT
439,761,721,94.9,93.0,96.4,2019,Had maternal postpartum checkup,Vermont,Vermont,Northeast,VT
440,975,894,91.1,87.6,93.7,2019,Had maternal postpartum checkup,Virginia,Virginia,South,VA
441,1171,1050,90.2,87.9,92.1,2019,Had maternal postpartum checkup,Washington,Washington,West,WA
442,820,736,90.7,87.7,93.1,2019,Had maternal postpartum checkup,Wisconsin,Wisconsin,Midwest,WI
443,485,438,91.5,87.9,94.1,2019,Had maternal postpartum checkup,Wyoming,Wyoming,West,WY
444,634,391,59.1,55.4,62.8,2020,Health care visit in the 12 months before pregnancy ,Alabama,Alabama,South,AL
445,1009,671,66.9,63.5,70.2,2020,Health care visit in the 12 months before pregnancy ,Alaska,Alaska,West,AK
446,787,482,58.9,55.4,62.3,2020,Health care visit in the 12 months before pregnancy ,Arizona,Arizona,West,AZ
447,911,523,59.0,54.0,63.9,2020,Health care visit in the 12 months before pregnancy ,Arkansas,Arkansas,South,AR
448,1042,759,70.7,67.3,73.9,2020,Health care visit in the 12 months before pregnancy ,Colorado,Colorado,West,CO
449,1352,888,73.5,70.9,75.9,2020,Health care visit in the 12 months before pregnancy ,Connecticut,Connecticut,Northeast,CT
450,840,591,68.3,64.8,71.7,2020,Health care visit in the 12 months before pregnancy ,Delaware,Delaware,South,DE
451,1072,628,59.6,55.8,63.3,2020,Health care visit in the 12 months before pregnancy ,Florida,Florida,South,FL
452,689,364,54.2,49.4,59.0,2020,Health care visit in the 12 months before pregnancy ,Georgia,Georgia,South,GA
453,1204,739,61.5,57.7,65.1,2020,Health care visit in the 12 months before pregnancy ,Hawaii,Hawaii,West,HI
454,1191,906,73.5,70.6,76.3,2020,Health care visit in the 12 months before pregnancy ,Illinois,Illinois,Midwest,IL
455,712,463,74.6,70.2,78.6,2020,Health care visit in the 12 months before pregnancy ,Iowa,Iowa,Midwest,IA
456,1167,792,68.3,64.9,71.6,2020,Health care visit in the 12 months before pregnancy ,Kansas,Kansas,Midwest,KS
457,796,530,68.3,63.8,72.4,2020,Health care visit in the 12 months before pregnancy ,Kentucky,Kentucky,South,KY
458,694,494,70.9,67.3,74.3,2020,Health care visit in the 12 months before pregnancy ,Louisiana,Louisiana,South,LA
459,888,678,75.1,71.7,78.3,2020,Health care visit in the 12 months before pregnancy ,Maine,Maine,Northeast,ME
460,992,730,71.6,67.9,75.1,2020,Health care visit in the 12 months before pregnancy ,Maryland,Maryland,South,MD
461,1389,995,79.6,77.2,81.8,2020,Health care visit in the 12 months before pregnancy ,Massachusetts,Massachusetts,Northeast,MA
462,1384,883,64.9,61.8,67.9,2020,Health care visit in the 12 months before pregnancy ,Michigan,Michigan,Midwest,MI
463,613,470,75.8,70.6,80.4,2020,Health care visit in the 12 months before pregnancy ,Minnesota,Minnesota,Midwest,MN
464,1001,571,59.2,55.2,63.2,2020,Health care visit in the 12 months before pregnancy ,Mississippi,Mississippi,South,MS
465,954,635,65.5,62.0,68.8,2020,Health care visit in the 12 months before pregnancy ,Missouri,Missouri,Midwest,MO
466,698,480,72.8,69.0,76.2,2020,Health care visit in the 12 months before pregnancy ,Montana,Montana,West,MT
467,1485,911,70.7,67.7,73.5,2020,Health care visit in the 12 months before pregnancy ,Nebraska,Nebraska,Midwest,NE
468,644,541,80.9,76.9,84.4,2020,Health care visit in the 12 months before pregnancy ,New Hampshire,New Hampshire,Northeast,NH
469,1089,644,61.2,58.2,64.1,2020,Health care visit in the 12 months before pregnancy ,New Jersey,New Jersey,Northeast,NJ
470,1035,660,58.8,55.7,61.8,2020,Health care visit in the 12 months before pregnancy ,New Mexico,New Mexico,West,NM
471,770,424,66.2,61.9,70.2,2020,Health care visit in the 12 months before pregnancy ,North Dakota,North Dakota,Midwest,ND
472,1643,1034,69.0,65.6,72.3,2020,Health care visit in the 12 months before pregnancy ,Oregon,Oregon,West,OR
473,1196,836,68.5,65.4,71.4,2020,Health care visit in the 12 months before pregnancy ,Pennsylvania,Pennsylvania,Northeast,PA
474,969,584,66.4,63.1,69.5,2020,Health care visit in the 12 months before pregnancy ,South Dakota,South Dakota,Midwest,SD
475,615,390,63.6,58.2,68.6,2020,Health care visit in the 12 months before pregnancy ,Tennessee,Tennessee,South,TN
476,1403,1027,75.2,72.6,77.6,2020,Health care visit in the 12 months before pregnancy ,Utah,Utah,West,UT
477,806,637,76.7,73.5,79.6,2020,Health care visit in the 12 months before pregnancy ,Vermont,Vermont,Northeast,VT
478,935,634,61.3,56.3,66.2,2020,Health care visit in the 12 months before pregnancy ,Virginia,Virginia,South,VA
479,1228,802,67.2,63.9,70.3,2020,Health care visit in the 12 months before pregnancy ,Washington,Washington,West,WA
480,590,352,61.3,56.4,65.9,2020,Health care visit in the 12 months before pregnancy ,West Virginia,West Virginia,South,WV
481,1676,1150,76.5,73.5,79.2,2020,Health care visit in the 12 months before pregnancy ,Wisconsin,Wisconsin,Midwest,WI
482,457,303,63.6,57.8,69.0,2020,Health care visit in the 12 months before pregnancy ,Wyoming,Wyoming,West,WY
483,626,544,86.3,83.3,88.8,2020,Began prenatal care in 1st trimester,Alabama,Alabama,South,AL
484,982,829,84.2,81.3,86.7,2020,Began prenatal care in 1st trimester,Alaska,Alaska,West,AK
485,783,679,85.2,82.4,87.6,2020,Began prenatal care in 1st trimester,Arizona,Arizona,West,AZ
486,893,752,87.8,84.1,90.8,2020,Began prenatal care in 1st trimester,Arkansas,Arkansas,South,AR
487,1044,949,90.8,88.5,92.7,2020,Began prenatal care in 1st trimester,Colorado,Colorado,West,CO
488,1326,1214,93.5,92.1,94.7,2020,Began prenatal care in 1st trimester,Connecticut,Connecticut,Northeast,CT
489,844,670,79.4,76.2,82.2,2020,Began prenatal care in 1st trimester,Delaware,Delaware,South,DE
490,1066,887,84.6,81.7,87.2,2020,Began prenatal care in 1st trimester,Florida,Florida,South,FL
491,684,607,88.3,84.7,91.0,2020,Began prenatal care in 1st trimester,Georgia,Georgia,South,GA
492,1184,1035,88.1,85.4,90.3,2020,Began prenatal care in 1st trimester,Hawaii,Hawaii,West,HI
493,1194,1062,88.0,85.7,90.0,2020,Began prenatal care in 1st trimester,Illinois,Illinois,Midwest,IL
494,697,607,90.5,87.2,92.9,2020,Began prenatal care in 1st trimester,Iowa,Iowa,Midwest,IA
495,1152,1020,89.7,87.3,91.7,2020,Began prenatal care in 1st trimester,Kansas,Kansas,Midwest,KS
496,779,668,86.8,83.3,89.6,2020,Began prenatal care in 1st trimester,Kentucky,Kentucky,South,KY
497,677,604,90.3,87.9,92.2,2020,Began prenatal care in 1st trimester,Louisiana,Louisiana,South,LA
498,875,769,87.9,85.2,90.2,2020,Began prenatal care in 1st trimester,Maine,Maine,Northeast,ME
